Verse number,Levenshtein,Word for word
1,100.00,100.00
2,100.00,100.00
3,100.00,100.00
4,100.00,100.00
5,92.94,75.00
6,91.35,90.48
7,97.14,91.67
8,97.30,91.67
9,100.00,100.00
10,97.33,83.33
11,100.00,100.00
12,100.00,100.00
13,100.00,100.00
14,100.00,100.00
15,100.00,100.00
16,100.00,100.00
17,100.00,100.00
18,98.19,96.88
19,100.00,100.00
20,100.00,100.00
21,100.00,100.00
22,100.00,100.00
23,100.00,100.00
24,100.00,100.00
25,85.87,88.89
26,100.00,100.00
27,100.00,100.00
28,100.00,100.00
29,100.00,100.00
30,100.00,100.00
31,100.00,100.00
32,100.00,100.00
33,100.00,100.00
34,95.12,93.75
35,100.00,100.00
36,100.00,100.00
37,100.00,100.00
38,100.00,100.00
39,100.00,100.00
40,100.00,100.00
41,100.00,100.00
42,100.00,100.00
43,88.82,92.59
44,100.00,100.00
45,100.00,100.00
46,100.00,100.00
47,100.00,100.00
48,100.00,100.00
49,100.00,100.00
50,100.00,100.00
51,100.00,100.00
52,100.00,100.00
53,100.00,100.00
54,81.69,100.00
55,100.00,100.00
56,97.96,85.71
57,100.00,100.00
58,96.69,96.67
59,100.00,100.00
60,100.00,100.00
61,100.00,100.00
62,100.00,100.00
63,100.00,100.00
64,95.24,94.44
65,100.00,100.00
66,100.00,100.00
67,100.00,100.00
68,89.09,100.00
69,100.00,100.00
70,100.00,100.00
71,100.00,100.00
72,100.00,100.00
73,100.00,100.00
74,100.00,100.00
75,100.00,100.00
76,100.00,100.00
77,95.12,93.33
78,100.00,100.00
79,100.00,100.00
80,100.00,100.00
81,100.00,100.00
82,100.00,100.00
83,94.23,96.43
84,100.00,100.00
85,100.00,100.00
86,100.00,100.00
87,100.00,100.00
88,97.81,96.77
89,98.44,97.78
90,100.00,100.00
91,100.00,100.00
92,100.00,100.00
93,100.00,100.00
94,100.00,100.00
95,100.00,100.00
96,100.00,100.00
97,100.00,100.00
98,100.00,100.00
99,100.00,100.00
100,100.00,100.00
101,100.00,100.00
102,100.00,100.00
103,100.00,100.00
104,100.00,100.00
105,100.00,100.00
106,100.00,100.00
107,100.00,100.00
108,100.00,100.00
109,100.00,100.00
110,100.00,100.00
111,100.00,100.00
112,93.89,94.00
113,100.00,100.00
114,100.00,100.00
115,93.60,94.74
116,100.00,100.00
117,75.90,70.59
118,100.00,100.00
119,100.00,100.00
120,96.35,94.87
121,100.00,100.00
122,100.00,100.00
123,100.00,100.00
124,100.00,100.00
125,100.00,100.00
126,100.00,100.00
127,100.00,100.00
128,100.00,100.00
129,92.68,88.00
130,100.00,100.00
131,100.00,100.00
132,100.00,100.00
133,100.00,100.00
134,47.83,48.39
135,100.00,100.00
136,100.00,100.00
137,86.00,89.47
138,73.33,71.43
139,91.30,96.30
140,100.00,100.00
141,100.00,100.00
142,85.58,89.47
143,100.00,100.00
144,96.26,97.14
145,100.00,100.00
146,100.00,100.00
147,100.00,100.00
148,100.00,100.00
149,100.00,100.00
150,89.66,90.00
151,44.62,44.00
152,100.00,100.00
153,81.72,86.67
154,100.00,100.00
155,100.00,100.00
156,95.10,96.30
157,100.00,100.00
158,100.00,100.00
159,86.21,81.82
160,100.00,100.00
161,100.00,100.00
162,100.00,100.00
163,88.18,88.10
164,100.00,100.00
165,100.00,100.00
166,100.00,100.00
167,100.00,100.00
168,100.00,100.00
169,100.00,100.00
170,100.00,100.00
171,93.40,90.00
172,90.41,88.46
173,100.00,100.00
174,94.92,95.65
175,100.00,100.00
176,100.00,100.00
177,100.00,100.00
178,100.00,100.00
179,100.00,100.00
180,100.00,100.00
181,93.10,100.00
182,88.89,100.00
183,100.00,100.00
184,100.00,100.00
185,100.00,100.00
186,100.00,100.00
187,100.00,100.00
188,100.00,100.00
189,100.00,100.00
190,100.00,100.00
191,100.00,100.00
192,100.00,100.00
193,100.00,100.00
194,100.00,100.00
195,100.00,100.00
196,91.85,84.00
197,100.00,100.00
198,100.00,100.00
199,100.00,100.00
200,95.15,94.44
201,97.10,92.31
202,100.00,100.00
203,93.75,100.00
204,96.64,95.24
205,100.00,100.00
206,95.60,93.33
207,100.00,100.00
208,92.16,90.91
209,100.00,100.00
210,100.00,100.00
211,92.16,100.00
212,100.00,100.00
213,100.00,100.00
214,95.24,93.10
215,100.00,100.00
216,97.75,94.12
217,100.00,100.00
218,100.00,100.00
219,100.00,100.00
220,100.00,100.00
221,100.00,100.00
222,96.70,94.44
223,97.14,92.86
224,100.00,100.00
225,100.00,100.00
226,84.81,86.67
227,100.00,100.00
228,100.00,100.00
229,97.46,97.37
230,95.07,96.43
231,100.00,100.00
232,89.11,85.71
233,91.54,90.00
234,100.00,100.00
235,100.00,100.00
236,100.00,100.00
237,97.30,97.37
238,100.00,100.00
239,100.00,100.00
240,94.12,94.12
241,100.00,100.00
242,100.00,100.00
243,91.43,94.44
244,100.00,100.00
245,100.00,100.00
246,100.00,100.00
247,87.27,86.36
248,90.28,92.86
249,100.00,100.00
250,100.00,100.00
251,100.00,100.00
252,94.71,97.06
253,100.00,100.00
254,100.00,100.00
255,100.00,100.00
256,100.00,100.00
