Verse number,Levenshtein,Word for word
1,98.08,87.50
2,100.00,100.00
3,100.00,100.00
4,100.00,100.00
5,94.59,80.95
6,86.41,81.25
7,98.85,93.33
8,98.88,93.33
9,100.00,100.00
10,97.83,86.67
11,100.00,100.00
12,100.00,100.00
13,97.94,86.67
14,97.67,86.67
15,100.00,100.00
16,100.00,100.00
17,98.97,93.10
18,96.20,96.15
19,95.88,93.75
20,98.91,93.55
21,100.00,100.00
22,95.18,100.00
23,100.00,100.00
24,98.21,94.74
25,75.49,100.00
26,100.00,100.00
27,100.00,100.00
28,79.10,100.00
29,100.00,100.00
30,98.70,92.86
31,100.00,100.00
32,100.00,100.00
33,88.97,100.00
34,98.53,96.00
35,100.00,100.00
36,100.00,100.00
37,100.00,100.00
38,100.00,100.00
39,98.89,93.33
40,96.92,100.00
41,99.53,97.30
42,94.74,88.89
43,91.54,100.00
44,85.88,100.00
45,100.00,100.00
46,95.12,86.67
47,88.96,100.00
48,99.10,94.12
49,100.00,100.00
50,100.00,100.00
51,97.90,95.83
52,95.86,100.00
53,100.00,100.00
54,91.25,91.67
55,100.00,100.00
56,90.24,66.67
57,100.00,100.00
58,96.75,100.00
59,94.35,100.00
60,100.00,100.00
61,100.00,100.00
62,100.00,100.00
63,100.00,100.00
64,79.39,91.67
65,100.00,100.00
66,100.00,100.00
67,97.33,77.78
68,89.36,100.00
69,98.32,95.00
70,97.98,94.12
71,100.00,100.00
72,100.00,100.00
73,100.00,100.00
74,80.33,90.91
75,100.00,100.00
76,100.00,100.00
77,86.96,100.00
78,95.33,80.00
79,100.00,100.00
80,98.75,92.31
81,90.83,90.00
82,100.00,100.00
83,95.16,100.00
84,100.00,100.00
85,100.00,100.00
86,100.00,100.00
87,100.00,100.00
88,91.18,85.19
89,98.13,100.00
90,100.00,100.00
91,98.89,93.75
92,100.00,100.00
93,100.00,100.00
94,100.00,100.00
95,98.08,87.50
96,100.00,100.00
97,100.00,100.00
98,100.00,100.00
99,100.00,100.00
100,100.00,100.00
101,95.41,100.00
102,100.00,100.00
103,95.14,96.15
104,100.00,100.00
105,100.00,100.00
106,100.00,100.00
107,100.00,100.00
108,100.00,100.00
109,100.00,100.00
110,92.59,100.00
111,100.00,100.00
112,97.47,100.00
113,100.00,100.00
114,100.00,100.00
115,85.00,100.00
116,100.00,100.00
117,70.21,100.00
118,99.06,95.00
119,100.00,100.00
120,91.82,96.88
121,93.94,100.00
122,92.86,82.61
123,100.00,100.00
124,100.00,100.00
125,100.00,100.00
126,81.25,100.00
127,100.00,100.00
128,100.00,100.00
129,93.91,90.48
130,100.00,100.00
131,100.00,100.00
132,94.29,83.33
133,100.00,100.00
134,47.95,100.00
135,100.00,100.00
136,100.00,100.00
137,88.89,82.35
138,81.58,83.33
139,94.30,86.21
140,100.00,100.00
141,100.00,100.00
142,82.08,100.00
143,91.30,87.50
144,92.05,96.97
145,99.06,93.33
146,100.00,100.00
147,100.00,100.00
148,94.52,100.00
149,100.00,100.00
150,96.00,92.31
151,48.92,80.00
152,100.00,100.00
153,78.13,100.00
154,95.45,96.15
155,100.00,100.00
156,85.93,92.00
157,100.00,100.00
158,100.00,100.00
159,86.44,83.33
160,96.04,100.00
161,100.00,100.00
162,99.39,96.30
163,91.41,96.55
164,100.00,100.00
165,100.00,100.00
166,88.24,81.25
167,100.00,100.00
168,100.00,100.00
169,100.00,100.00
170,95.83,94.12
171,91.09,100.00
172,95.92,94.12
173,100.00,100.00
174,95.06,92.31
175,100.00,100.00
176,97.09,95.45
177,83.74,100.00
178,98.73,96.00
179,100.00,100.00
180,100.00,100.00
181,92.86,93.75
182,83.33,75.00
183,100.00,100.00
184,99.19,95.65
185,99.29,96.00
186,100.00,100.00
187,96.46,93.75
188,97.94,93.33
189,100.00,100.00
190,100.00,100.00
191,100.00,100.00
192,97.83,75.00
193,96.18,96.00
194,98.78,96.30
195,100.00,100.00
196,86.23,95.45
197,99.28,96.00
198,90.91,100.00
199,100.00,100.00
200,96.94,93.75
201,91.43,92.31
202,93.65,80.00
203,95.24,92.31
204,91.18,100.00
205,97.16,87.50
206,87.65,70.00
207,100.00,100.00
208,81.63,100.00
209,98.51,95.83
210,100.00,100.00
211,76.27,90.00
212,100.00,100.00
213,100.00,100.00
214,89.91,94.74
215,100.00,100.00
216,96.43,93.33
217,100.00,100.00
218,100.00,100.00
219,100.00,100.00
220,100.00,100.00
221,100.00,100.00
222,93.94,100.00
223,95.24,93.33
224,95.31,100.00
225,100.00,100.00
226,73.81,100.00
227,100.00,100.00
228,90.20,100.00
229,95.16,90.00
230,93.75,100.00
231,100.00,100.00
232,85.19,87.50
233,84.83,92.86
234,100.00,100.00
235,98.26,95.00
236,95.31,100.00
237,95.51,95.83
238,98.39,90.00
239,90.72,86.67
240,94.25,78.57
241,100.00,100.00
242,100.00,100.00
243,93.68,93.33
244,99.32,95.45
245,100.00,100.00
246,97.37,94.74
247,83.52,92.86
248,85.96,88.24
249,100.00,100.00
250,100.00,100.00
251,100.00,100.00
252,97.93,87.50
253,100.00,100.00
254,94.92,90.00
255,100.00,100.00
256,100.00,100.00
257,97.52,95.65
258,100.00,100.00
259,89.41,91.67
260,100.00,100.00
261,100.00,100.00
262,99.04,93.75
